Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
78,Summer Palace,2006,7.871,0.642,,,,,,Ye Lou,Unrated,Unrated,18 Apr 2007,158 min,158,"Drama, History, Romance",Drama,History,7.2,7.2,4684,79.0,0.0,1.0,1 nomination total,"Ye Lou, Yingli Ma, Feng Mei","Lei Hao, Xiaodong Guo, Xueyun Bai","Country girl Yu Hong leaves her village, her family and her lover to study in Beijing. At university, she discovers an intense world of sexual freedom and forbidden pleasure. Enraptured, compulsive, she falls madly in love with fellow student Zhou Wei. Driven by obsessive passions they can neither understand nor control, their relationship becomes one of dangerous games - betrayals, recriminations, provocations - as all around them, their fellow students begin to demonstrate, demanding democracy and freedom. Protests collapse, and Yu and Zhou lose each other amidst the social chaos and panicked crowds. Zhou Wei is sent to a summer military camp, and on his release moves to Berlin, fleeing both his country and memories of Yu. She finds a job, a lover, but can not forget Zhou. In Germany, social unrest is mounting: calls for freedom, demonstrations for democracy. A familiar story for Zhou. Weary, still haunted by Yu, he returns to China as the Berlin Wall crashes down. He finds her at last, in a small town. From evening to dawn, their future stretches before them, two changed souls in a changed world.","Mandarin, German","China, France",tt0794374,movie,N/A,"$63,045",N/A,"dark, emotional",epic,intimate,"family, love, betrayal",ensemble,linear,neutral,redemption,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
79,Summer Snow,1995,8.173,0.645,,,,,,Ann Hui,N/A,N/A,N/A,101 min,101,"Comedy, Drama",Comedy,Drama,7.8,7.8,861,0.0,0.0,2.0,20 wins & 11 nominations total,Man-Keung Chan,"Josephine Siao, Kar-Ying Law, Allen Ting","The Suns are a typical Hong Kong family: May, forty something, works for a trading company; her husband, Bing, works as a low-grade civil servant, and Allen, their teenage son, is still at school. Trouble strikes one day when Bing's mother dies of a stroke, leaving her husband old Mr. Sun. Alzheimer's Disease is diagnosed. From that day on, the family's daily life is thrown into a poignant. Old Mr. Sun develops a tendency to wander off and get lost, he wakes up yelling in the middle of the night plus he is rude and disobliging ... all this, along with May's already full schedule as wife, mother and employee, drives her close to the edge of her endurance. The very last thing they all wanted has to happen: old Mr. Sun has to go into a Nursing Home. But it does not turn out quite like they expected...",Cantonese,Hong Kong,tt0111767,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,family,ensemble,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Taipei Story,1985,8.208,0.642,,,,,,Edward Yang,Not Rated,Not Rated,N/A,119 min,119,Drama,Drama,Unknown,7.6,7.6,4465,0.0,0.0,1.0,3 nominations total,"T'ien-wen Chu, Hsiao-Hsien Hou, Edward Yang","Chin Tsai, Hsiao-Hsien Hou, I-Chen Ko","Lung, a former member of the national Little League team and now operator of an old-style fabric business, is never able to shake a longing for his past glory. One day, he runs into a forme teammate who is now a struggling cab driver. The two talk about old times and they are struck by a sense of loss. Lung is living with his old childhood sweetheart Ah-chin, a westernized professional woman who grew up in a traditional family. Although they live together, Ah-chin is always weary of Lung's past liason with another girl. After an argument, Ah-chin tris to find solace by hanging out with her sister's friends, a group of westernized, hedonistic youths.","Min Nan, Mandarin, Hokkien",Taiwan,tt0089866,movie,N/A,"$12,897",N/A,emotional,medium,intimate,"family, love, friendship",ensemble,linear,tragic,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,The 36th Chamber of Shaolin,1978,8.195,0.642,,,,,,Chia-Liang Liu,R,R,02 Feb 1978,116 min,116,"Action, Adventure, Drama",Action,Adventure,7.6,7.6,19003,0.0,0.0,1.0,1 nomination total,Kuang Ni,"Chia-Hui Liu, Lo Lieh, Yue Wong","The anti-Ching patriots, under the guidance of Ho Kuang-han, have secretly set up their base in Canton, disguised as school masters. During a brutal Manchu attack, Lui manages to escape and devotes himself to learning the martial arts in order to seek revenge. In a short period of time he masters the deadly use of his fists, feet and palms, along with such weapons as swords, sticks, and lances. With his learning complete, he takes on the Manchus.",Mandarin,Hong Kong,tt0078243,movie,N/A,N/A,N/A,"dark, exciting, emotional",fast,intimate,revenge,male,linear,neutral,growth,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
82,The Arch,1968,8.116,0.638,,,,,,Shu Shuen Tong,N/A,N/A,14 Oct 1970,94 min,94,Drama,Drama,Unknown,7.6,7.6,240,0.0,0.0,1.0,4 wins,"Yutang Lin, Shu Shuen Tong","Lisa Lu, Roy Chiao, Hilda Chow Hsuan","A woman falls in love with a visiting cavalry captain, but chooses to suppress it for the sake of her daughter.",Mandarin,Hong Kong,tt0074151,movie,N/A,N/A,N/A,emotional,medium,intimate,love,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,The Big Road,1935,7.518,0.586,,,,,,Yu Sun,Not Rated,Not Rated,31 May 2016,104 min,104,"Comedy, Musical, Drama",Comedy,Musical,6.5,6.5,330,0.0,0.0,0.0,N/A,Yu Sun,"Yan Jin, Yanyan Chen, Li-li Li","Six young men from the city take jobs on a road crew, building a highway of strategic importance to the Chinese Army. The story relates the men's interactions with each other, the local community, and two friendly and flirtatious young local girls who become part of their circle. Meanwhile, their hard work is countered by a traitorous foreman bribed by Japanese agents to sabotage the road.","None, Mandarin",China,tt0121180,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,"friendship, betrayal",unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,The Black Cannon Incident,1985,8.219,0.639,,,,,,Jianxin Huang,Not Rated,Not Rated,13 Mar 1989,96 min,96,"Comedy, Drama",Comedy,Drama,7.4,7.4,560,0.0,0.0,2.0,3 wins & 5 nominations total,"Wei Li, Xianliang Zhang","Zifeng Liu, Ming Gao, Gerhard Olschewski","Engineer Zhao Shuxin likes playing chess a lot. Once during his business trip, he loses a black cannon chessman which leads to unexpected consequences for him.",Mandarin,China,tt0091190,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,The Blue Kite,1993,8.017,0.655,,,,,,Zhuangzhuang Tian,N/A,N/A,25 Mar 1994,140 min,140,"Drama, History",Drama,History,7.5,7.5,3415,0.0,0.0,2.0,10 wins & 4 nominations total,Mao Xiao,"Tian Yi, Wenyao Zhang, Xiaoman Chen","On Dry Well Lane in Beijing in 1953, Chen Shujuan and Lin Shaolong marry. A year later their son, nicknamed Tietou (Iron Head), is born. The Party is everywhere: Mao's photograph, loud-speaker announcements, visits from the neighborhood committee. Shaolong dies in a reform camp; a close family friend, who protects Shujuan and her son partly out of guilt for lying to authorities about Shaolong, succumbs to malnutrition; a confrontation with the Red Guard leads to injury, imprisonment and death. Shujuan's love for Tietou sustains her, and the child's blue kite embodies hope: ""I can make another for you,"" says Tietou's dad; by the end, Tietou promises this to a small child",Mandarin,"China, Hong Kong",tt0107358,movie,N/A,"$355,974",N/A,"dark, uplifting, emotional",slow,intimate,"family, love, friendship",female,linear,tragic,minimal,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,The Butterfly Murders,1979,7.186,0.537,,,,,,Hark Tsui,Not Rated,Not Rated,20 Jul 1979,88 min,88,"Action, Horror, Mystery",Action,Horror,6.4,6.4,896,0.0,0.0,0.0,N/A,"Chi-Ming Lam, Fan Lin","Siu-Ming Lau, Michelle Yim, Shu-Tong Wong","A journalist attempting to solve a mystery in ""Martial World"" enlists the aid of a master fighter and a woman named Green Breeze. They go to a mysterious castle where they come across poisonous butterflies and a black-leather-clad killer.",Cantonese,Hong Kong,tt0079051,movie,N/A,N/A,N/A,"suspenseful, exciting",fast,conventional,general,female,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,The Eight Diagram Pole Fighter,1984,8.14,0.635,,,,,,Chia-Liang Liu,Not Rated,Not Rated,17 Feb 1984,98 min,98,"Action, Drama",Action,Drama,7.4,7.4,3895,0.0,0.0,1.0,1 nomination total,"Chia-Liang Liu, Kuang Ni","Chia-Hui Liu, Sheng Fu, Lily Li","The Yang family was the loyal strong-arm of the Imperial army. But a jealous General betrays the Eilte Spearman and their father to the opposing Mongol army. After an ambush of a battle, only two of the seven sons survive. One remains hidden by the family while the other lives on the run. The traitorous general must find them and silence them before either of them can testify to the Emperor of his treachery.","Cantonese, Mandarin",Hong Kong,tt0086606,movie,N/A,N/A,N/A,"exciting, emotional",fast,intimate,"family, betrayal, survival",male,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
