Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
81,The Missing Picture,2013,7.916,0.592,7.3,92.0,Rithy Panh,-14.201,-0.069,-0.015,True,True,False,0,0,0,0
82,The Newspaper,2020,7.993,0.646,8.3,90.0,"Sarath Kothalawala, Kumara Thirimadura",-16.201,0.931,0.062,True,True,True,0,0,0,0
83,The Night of Truth,2004,7.915,0.622,7.3,100.0,Fanta Régina Nacro,-6.201,-0.069,-0.016,True,True,True,0,0,0,0
84,The No. 1 Ladies' Detective Agency,2008,7.938,0.611,8.2,60.0,,-46.201,0.831,0.007,False,True,True,0,0,0,0
85,The Perfect Picture,2009,7.422,0.569,7.4,125.0,Shirley Frimpong-Manso,18.799,0.031,-0.51,True,True,False,0,0,0,0
86,The Scent of Green Papaya,1993,7.919,0.622,7.3,104.0,Anh Hung Tran,-2.201,-0.069,-0.013,True,True,True,0,0,0,0
87,The Sea,2002,7.849,0.608,6.8,109.0,Baltasar Kormákur,2.799,-0.569,-0.082,True,True,True,0,0,0,0
88,The Silence of Swastika,2021,7.994,0.664,9.5,56.0,Anuj Bhardwaj,-50.201,2.131,0.062,False,False,True,0,0,0,0
89,The Terrorizers,1986,8.195,0.644,7.7,109.0,Edward Yang,2.799,0.331,0.264,True,True,True,0,0,0,0
90,The Train of Salt and Sugar,2016,7.668,0.561,6.4,93.0,Licínio Azevedo,-13.201,-0.969,-0.264,True,True,False,0,0,0,0
91,The Unorthodox,2018,8.066,0.655,7.4,92.0,Eliran Malka,-14.201,0.031,0.135,True,True,True,0,0,0,0
92,The Wedding Ring,2021,7.579,0.537,5.4,86.0,Graeme Campbell,-20.201,-1.969,-0.353,True,False,False,0,0,0,0
93,The White Line,2019,8.115,0.658,7.4,100.0,Desiree Kahikopo-Meiffret,-6.201,0.031,0.183,True,True,True,0,0,0,0
94,Timi Sanga,2018,8.229,0.621,8.0,0.0,Shishir S.J.B. Rana,-106.201,0.631,0.298,False,True,True,0,0,0,0
95,What Happened to Santiago,1989,7.84,0.616,7.2,105.0,Jacobo Morales,-1.201,-0.169,-0.092,True,True,True,0,0,0,0
96,Yeelen,1987,7.845,0.61,6.9,105.0,Souleymane Cissé,-1.201,-0.469,-0.086,True,True,True,0,0,0,0
97,Yesterday,2004,8.121,0.636,7.5,90.0,Darrell Roodt,-16.201,0.131,0.189,True,True,True,0,0,0,0
98,You Will Die at 20,2019,8.215,0.631,7.0,103.0,Amjad Abu Alala,-3.201,-0.369,0.283,True,True,True,0,0,0,0
