Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,Dark,2017,8.183,0.609,,,,,,Paul Schrader,N/A,N/A,11 Dec 2017,75 min,75,"Drama, Thriller",Drama,Thriller,6.0,6.0,506,0.0,0.0,0.0,N/A,Paul Schrader,"Nicolas Cage, Irène Jacob, Anton Yelchin","Paul Schrader was not allowed to come out with the version he desired for ""Dying of the Light"". He took the studio cut and modified it with his artistic license to achieve a closer version of the vision he had. ""Dark"" is a more aptly named film that focuses on CIA agent Evan Lake's last mission as he slowly begins to lose his mind from dementia/Alzheimer's.","English, Romanian",United States,tt10690676,movie,N/A,N/A,N/A,"suspenseful, emotional",fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fall for Me,2023,6.3,0.365,,,,,,Unknown,N/A,,,0 min,0,,,,0.0,0.0,0,,,,,,,,,,,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,Kaulitz & Kaulitz,2023,6.3,0.365,,,,,,Unknown,N/A,,,0 min,0,,,,0.0,0.0,0,,,,,,,,,,,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,"Sigmund Freud, un juif sans Dieu",2020,7.839,0.578,,,,,,David Teboul,N/A,N/A,05 May 2022,98 min,98,"Documentary, Biography",Documentary,Biography,6.8,6.8,59,0.0,0.0,0.0,N/A,"François Prodromidès, David Teboul","Mathieu Amalric, Jeanne Balibar, Catherine Deneuve","Using rare archive images and his letters, a portrait of Sigmund Freud revealing his relationship with his family and friends.",French,France,tt12094320,movie,N/A,N/A,N/A,neutral,medium,conventional,"friendship, love, family",male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Too Hot to Handle: Germany,2023,6.3,0.365,,,,,,Unknown,N/A,,,0 min,0,,,,0.0,0.0,0,,,,,,,,,,,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
