Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,A Very Lovely Dream: One Week in Twin Peaks,2017,8.116,0.616,,,,,,Charles de Lauzirika,N/A,N/A,05 Dec 2017,28 min,28,"Documentary, Short",Documentary,Short,8.0,8.0,58,0,0,0,N/A,N/A,"Dana Ashbrook, Scott Cameron, Michael Cera","One week in the making of David Lynch's 2017 continuation of his groundbreaking television series TWIN PEAKS, capturing the cast and crew as they revisited several locations from the '90s original.",English,United States,tt7611426,movie,N/A,N/A,N/A,neutral,fast,conventional,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Akira,1988,8.227,0.651,,,,,,Katsuhiro Ôtomo,R,R,16 Jul 1988,124 min,124,"Animation, Action, Drama",Animation,Action,8.0,8.0,220198,68,0,1,1 win total,"Katsuhiro Ôtomo, Izô Hashimoto","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama","2019. 31 years after being destroyed during World War 3, Tokyo (now 'Neo-Tokyo') has been rebuilt and is a thriving metropolis. Shotaro Kaneda is the leader of a biker gang. His friend Tetsuo is injured in an accident and taken to a top-secret government facility. He develops telekinetic powers but decides to use them for evil rather than good. He has the same powers as Akira, the force that destroyed Tokyo in 1988, and now it appears that history will repeat itself.",Japanese,Japan,tt0094625,movie,N/A,"$553,171",N/A,"exciting, emotional",slow,intimate,friendship,male,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1,0,0,0,0,1,0,0
3,Dogville,2003,8.182,0.649,,,,,,Lars von Trier,R,R,23 Apr 2004,171 min,171,"Crime, Drama",Crime,Drama,8.0,8.0,164417,61,0,2,21 wins & 33 nominations total,Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall","Late one night, a beautiful and well-dressed young woman, Grace (Nicole Kidman), arrives in the mountainous old mining town of Dogville as a fugitive; following the sound of gunshots in the distance which have been heard by Tom (Paul Bettany), the self-appointed moral spokesman for the town. Persuaded by Tom, the town agree to hide Grace, and in return she freely helps the locals. However, when the Sheriff from a neighbouring town posts a Missing notice, advertising a reward for revealing her whereabouts, the townsfolk require a better deal from Grace, in return for their silence; and when the Sheriff returns some weeks later with a Wanted poster, even though the citizens know her to be innocent of the false charges against her, the town's sense of goodness takes a sinister turn and the price of Grace's freedom becomes a workload and treatment akin to that of a slave. But Grace has a deadly secret that the townsfolk will eventually encounter.","English, French","Denmark, Netherlands, Sweden, Germany, United Kingdom, France, Finland, Norway, Italy",tt0276919,movie,N/A,"$1,535,286",N/A,"dark, emotional",epic,intimate,general,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,1,0,0,0,0,0
4,Don't Let Them Shoot the Kite,1989,8.09,0.651,,,,,,Tunç Basaran,N/A,N/A,07 Nov 1989,85 min,85,"Crime, Drama",Crime,Drama,8.3,8.3,7079,0,0,2,7 wins & 1 nomination,"Tunç Basaran, Feride Çiçekoglu","Ozan Bilen, Nur Sürer, Füsun Demirel","Baris, a 5 year-old little boy, has to stay in a prison with her mother during her detention period. Baris develops a special relationship with Inci, a young woman who also stays in prison. She promises him that the kite will fly someday.",Turkish,Turkey,tt0098573,movie,N/A,N/A,N/A,"dark, emotional",fast,intimate,love,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,0,1,0,0,0,0,0
5,La Jetée,1962,8.11,0.65,,,,,,Chris Marker,Not Rated,Not Rated,16 Feb 1962,28 min,28,"Short, Drama, Romance",Short,Drama,8.2,8.2,37834,0,0,1,2 wins,Chris Marker,"Étienne Becker, Jean Négroni, Hélène Chatelain","Time travel, still images, past, present and future and the aftermath of World War III. The tale of a man, a slave, sent back and forth, in and out of time, to find a solution to the world's fate, to replenish its decreasing stocks of food, medicine and energies, and in doing so, resulting in a perpetual memory of a lone female, life, death and past events that are recreated on an airport jetty.","French, German",France,tt0056119,movie,N/A,N/A,N/A,"dark, emotional",fast,intimate,general,unknown,non-linear,tragic,minimal,original,low,minimal,low,0,0,0,0,0,1,0,0,0,1,0,0,0
6,Night and Fog,1956,7.881,0.64,,,,,,Alain Resnais,TV-14,TV-14,01 Jan 1956,32 min,32,"Documentary, Short, History",Documentary,Short,8.6,8.6,22148,0,0,2,Nominated for 1 BAFTA Award2 wins & 1 nomination total,Jean Cayrol,"Michel Bouquet, Reinhard Heydrich, Heinrich Himmler","One of the most vivid depictions of the horrors of Nazi Concentration Camps. Filmed in 1955 at several concentration camps in Poland, the film combines new color and black and white footage with black and white newsreels, footage shot by the victorious allies, and stills, to tell the story not only of the camps, but to portray the horror of man's brutal inhumanity.",French,France,tt0048434,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Tripping with Nils Frahm,2020,7.789,0.597,,,,,,Benoit Toulemonde,N/A,N/A,03 Dec 2020,87 min,87,"Documentary, Music",Documentary,Music,7.9,7.9,778,0,0,0,N/A,N/A,Nils Frahm,An iconic artist at an iconic location. This concert film captures several mesmerizing live performances from the renowned German composer and producer Nils Frahm at the legendary Funkhaus Berlin. Expect soaring ambient and neo-classical piano from one of the greatest contemporary musicians around.,N/A,"Germany, United States",tt13562678,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,0,0,0,0,0,0,0,0
