Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Genres,Director,Plot,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Has_Female_Strength,Has_Male_Gaze,Has_Oscar,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance
1,Terminator 2: Judgment Day,1991,7.881,0.616,8.6,137,"Action, Adventure, Sci-Fi",James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",0,0,0,0,1,0,1,3,0,0,0,0,0
2,Jaws,1975,7.865,0.605,8.1,124,"Adventure, Horror, Thriller",Steven Spielberg,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",0,0,0,0,0,0,1,3,0,0,0,0,0
3,Suicide Squad,2016,6.858,0.501,5.9,123,"Action, Adventure, Fantasy",David Ayer,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,0,0,0,0,0,1,1,3,0,0,0,0,0
