Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,A Very Lovely Dream: One Week in Twin Peaks,2017,8.116,0.616,8.0,28,Charles de Lauzirika,-78.201,0.631,0.185,False,True,True,0,0,0,0
2,Akira,1988,8.227,0.651,8.0,124,Katsuhiro Ôtomo,17.799,0.631,0.296,True,True,True,0,0,0,0
3,Dogville,2003,8.182,0.649,8.0,171,Lars von Trier,64.799,0.631,0.25,False,True,True,0,0,0,0
4,Don't Let Them Shoot the Kite,1989,8.09,0.651,8.3,85,Tunç Basaran,-21.201,0.931,0.159,True,True,True,0,0,0,0
5,La Jetée,1962,8.11,0.65,8.2,28,Chris Marker,-78.201,0.831,0.179,False,True,True,0,0,0,0
6,Night and Fog,1956,7.881,0.64,8.6,32,Alain Resnais,-74.201,1.231,-0.051,False,False,True,0,0,0,0
7,Tripping with Nils Frahm,2020,7.789,0.597,7.9,87,Benoit Toulemonde,-19.201,0.531,-0.142,True,True,False,0,0,0,0
