Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
1,Aladdin,1992,8.064,0.613,8.0,90,"Ron Clements, John Musker",-16.201,0.631,0.133,True,True,True,0,0,0,0
2,American Sniper,2014,8.133,0.633,7.3,133,Clint Eastwood,26.799,-0.069,0.202,True,True,True,0,0,0,0
3,E.T. the Extra-Terrestrial,1982,8.044,0.61,7.9,115,Steven Spielberg,8.799,0.531,0.113,True,True,True,0,0,0,0
4,Jaws,1975,8.077,0.616,8.1,124,Steven Spielberg,17.799,0.731,0.146,True,True,True,0,0,0,0
5,Skyfall,2012,8.235,0.618,7.8,143,Sam Mendes,36.799,0.431,0.304,False,True,True,0,0,0,0
6,Star Wars: Episode V - The Empire Strikes Back,1980,8.124,0.63,8.7,124,Irvin Kershner,17.799,1.331,0.193,True,False,True,0,0,0,0
7,Suicide Squad,2016,7.279,0.532,5.9,123,David Ayer,16.799,-1.469,-0.652,True,False,False,0,0,0,0
8,Terminator 2: Judgment Day,1991,8.087,0.626,8.6,137,James Cameron,30.799,1.231,0.155,False,False,True,0,0,0,0
