Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
581,Mr. Klein,1976,5.32,0.316,0.0,0,Joseph Losey,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
582,Mughal-E-Azam,1960,5.31,0.315,0.0,0,K. Asif,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
583,Muhammad: The Messenger of God,2015,6.01,0.35,0.0,0,Majid Majidi,-106.201,-7.369,-1.921,False,False,False,0,0,0,0
584,Mumbai Meri Jaan,2008,5.31,0.315,0.0,0,Nishikant Kamat,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
585,My Brother Khosrow,2016,5.99,0.35,0.0,0,Ehsan Biglari,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
586,My Father's Glory,1990,5.32,0.316,0.0,0,Yves Robert,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
587,My Intimate Partner,1960,5.31,0.315,0.0,0,Kim Chun,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
588,My Mother's Castle,1990,5.32,0.316,0.0,0,Yves Robert,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
589,My Name Is Joker,1970,5.33,0.316,0.0,0,Raj Kapoor,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
590,My Name Is Khan,2010,5.61,0.33,0.0,0,Karan Johar,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
591,My Night at Maud's,1969,5.33,0.316,0.0,0,Éric Rohmer,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
592,My Sassy Girl,2001,5.39,0.319,0.0,0,Jae-young Kwak,-106.201,-7.369,-2.541,False,False,False,0,0,0,0
593,My Sex Life... or How I Got Into an Argument,1996,5.33,0.316,0.0,0,Arnaud Desplechin,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
594,My Uncle,1958,5.31,0.315,0.0,0,Jacques Tati,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
595,Mysteries of Lisbon,2011,5.85,0.342,0.0,0,,-106.201,-7.369,-2.081,False,False,False,0,0,0,0
596,Naked Childhood,1968,5.33,0.316,0.0,0,Maurice Pialat,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
597,Napoleon,1927,5.31,0.315,0.0,0,Abel Gance,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
598,Narco Cultura,2013,6.03,0.352,0.0,0,Shaul Schwarz,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
599,Narges,1992,5.33,0.316,0.0,0,Rakhshan Banietemad,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
600,Nazarin,1959,5.31,0.315,0.0,0,Luis Buñuel,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
601,Near Orouet,1971,5.33,0.316,0.0,0,Jacques Rozier,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
602,Neerja,2016,5.99,0.35,0.0,0,Ram Madhvani,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
603,Neruda,2016,5.99,0.35,0.0,0,Pablo Larraín,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
604,Never Forever,2007,5.28,0.314,0.0,0,Gina Kim,-106.201,-7.369,-2.651,False,False,False,0,0,0,0
605,New World,2013,6.03,0.352,0.0,0,Park Hoon-jung,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
606,New Year Sacrifice,1956,5.31,0.315,0.0,0,Hu Sang,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
607,Night Bus,2007,5.28,0.314,0.0,0,Kiumars Poorahmad,-106.201,-7.369,-2.651,False,False,False,0,0,0,0
608,Night of the Hunchback,1965,5.33,0.316,0.0,0,Farokh Ghafari,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
609,Niloofar,2008,5.31,0.315,0.0,0,Sabine El Gemayel,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
610,Nine Queens,2000,5.38,0.319,0.0,0,Fabián Bielinsky,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
611,Ninja Scroll,1993,5.33,0.316,0.0,0,Yoshiaki Kawajiri,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
612,No,2012,5.99,0.35,0.0,0,Pablo Larraín,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
613,"No Date, No Signature",2017,6.09,0.354,0.0,0,Vahid Jalilvand,-106.201,-7.369,-1.841,False,False,False,0,0,0,0
614,No Men Allowed,2011,5.85,0.342,0.0,0,Rambod Javan,-106.201,-7.369,-2.081,False,False,False,0,0,0,0
615,No One Knows About Persian Cats,2009,5.43,0.321,0.0,0,Bahman Ghobadi,-106.201,-7.369,-2.501,False,False,False,0,0,0,0
616,No Tears for the Dead,2014,6.03,0.352,0.0,0,Lee Jeong-beom,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
617,Nobody's Watching,2017,6.09,0.354,0.0,0,Julia Solomonoff,-106.201,-7.369,-1.841,False,False,False,0,0,0,0
618,Nomad,1982,5.32,0.316,0.0,0,"Patrick Tam, Terry Kay-Ming Tong",-106.201,-7.369,-2.611,False,False,False,0,0,0,0
619,North Face,2008,5.31,0.315,0.0,0,Philipp Stölzl,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
620,Nosferatu: A Symphony of Horror,1922,5.31,0.315,0.0,0,F.W. Murnau,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
621,Nostalgia for the Light,2010,5.61,0.33,0.0,0,Patricio Guzmán,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
622,Not One Less,1999,5.38,0.319,0.0,0,Yimou Zhang,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
623,Nothing,2010,5.61,0.33,0.0,0,Abdolreza Kahani,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
624,O Cheiro do Ralo,2006,5.26,0.313,0.0,0,Heitor Dhalia,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
625,Oasis,2002,5.34,0.317,0.0,0,Lee Chang-dong,-106.201,-7.369,-2.591,False,False,False,0,0,0,0
626,Obsessed,2014,6.03,0.352,0.0,0,Kim Dae-woo,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
627,Odd Obsession,1959,5.31,0.315,0.0,0,Kon Ichikawa,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
628,Ode to My Father,2014,6.03,0.352,0.0,0,JK Youn,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
629,Office Romance,1977,5.32,0.316,0.0,0,Eldar Ryazanov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
630,Offside,2006,5.26,0.313,0.0,0,Jafar Panahi,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
631,Olga,2004,5.29,0.314,0.0,0,Jayme Monjardim,-106.201,-7.369,-2.641,False,False,False,0,0,0,0
632,Omar Gatlato,1977,7.561,0.59,6.6,90,Merzak Allouache,-16.201,-0.769,-0.371,True,True,False,0,0,0,0
633,Omkara,2006,5.26,0.313,0.0,0,Vishal Bhardwaj,-106.201,-7.369,-2.671,False,False,False,0,0,0,0
634,On Your Wedding Day,2018,6.18,0.359,0.0,0,Lee Seok-geun,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
635,Once Upon a Time in China,1991,5.32,0.316,0.0,0,Hark Tsui,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
636,Once Upon a Time in Tehran,1999,5.38,0.319,0.0,0,Ali Hatami,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
637,"Once Upon a Time, Cinema",1992,5.33,0.316,0.0,0,Mohsen Makhmalbaf,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
638,One-Armed Swordsman,1967,5.33,0.316,0.0,0,Cheh Chang,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
639,Onibaba,1964,5.33,0.316,0.0,0,Kaneto Shindô,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
640,Only Old Men Are Going to Battle,1974,5.32,0.316,0.0,0,Leonid Bykov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
641,Only Yesterday,1991,5.32,0.316,0.0,0,Isao Takahata,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
642,Open Your Eyes,1997,5.38,0.319,0.0,0,Alejandro Amenábar,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
643,Operation 'Y' & Other Shurik's Adventures,1965,5.33,0.316,0.0,0,Leonid Gaidai,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
644,Oral Messages,1991,5.32,0.316,0.0,0,Abdellatif Abdelhamid,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
645,Os Verdes Anos,1963,5.33,0.316,0.0,0,Paulo Rocha,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
646,Our Beloved Month of August,2008,5.31,0.315,0.0,0,Miguel Gomes,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
647,Out of Life,1991,7.619,0.597,6.8,97,Maroun Bagdadi,-9.201,-0.569,-0.312,True,True,False,0,0,0,0
648,Oxhide,2005,5.25,0.312,0.0,0,Jiayin Liu,-106.201,-7.369,-2.681,False,False,False,0,0,0,0
649,PK,2014,6.03,0.352,0.0,0,Rajkumar Hirani,-106.201,-7.369,-1.901,False,False,False,0,0,0,0
650,Paan Singh Tomar,2012,5.99,0.35,0.0,0,Tigmanshu Dhulia,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
651,Pad Man,2018,6.18,0.359,0.0,0,R Balki,-106.201,-7.369,-1.751,False,False,False,0,0,0,0
652,Pandora,2016,5.99,0.35,0.0,0,Jeong-woo Park,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
653,Pandora's Box,1929,5.31,0.315,0.0,0,Georg Wilhelm Pabst,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
654,Panique,1946,5.31,0.315,0.0,0,Julien Duvivier,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
655,Paper Flowers,1959,5.31,0.315,0.0,0,Guru Dutt,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
656,Parents' Hearts,1955,5.31,0.315,0.0,0,Kim Chun,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
657,Pari,1995,5.33,0.316,0.0,0,Dariush Mehrjui,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
658,Parinda,1989,5.32,0.316,0.0,0,Vidhu Vinod Chopra,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
659,Parviz,2012,5.99,0.35,0.0,0,Majid Barzegar,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
660,Peculiarities of the National Hunt,1995,5.33,0.316,0.0,0,Aleksandr Rogozhkin,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
661,Pellet,2000,5.38,0.319,0.0,0,Achero Mañas,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
662,Peninsula,2020,6.26,0.363,0.0,0,Yeon Sang-ho,-106.201,-7.369,-1.671,False,False,False,0,0,0,0
663,Phantom Beirut,1998,5.38,0.319,0.0,0,Ghassan Salhab,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
664,Pickpocket,1959,5.31,0.315,0.0,0,Robert Bresson,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
665,Pigs and Battleships,1961,5.31,0.315,0.0,0,Shôhei Imamura,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
666,Pinjar,2003,5.3,0.315,0.0,0,Chandra Prakash Dwivedi,-106.201,-7.369,-2.631,False,False,False,0,0,0,0
667,Pink,2016,5.99,0.35,0.0,0,Aniruddha Roy Chowdhury,-106.201,-7.369,-1.941,False,False,False,0,0,0,0
668,Pixote,1980,5.32,0.316,0.0,0,Hector Babenco,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
669,Placido,1961,5.31,0.315,0.0,0,Luis García Berlanga,-106.201,-7.369,-2.621,False,False,False,0,0,0,0
670,Platform,2000,5.38,0.319,0.0,0,Jia Zhang-ke,-106.201,-7.369,-2.551,False,False,False,0,0,0,0
671,Playtime,1967,5.33,0.316,0.0,0,Jacques Tati,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
672,Po xiao shi fen,1968,5.33,0.316,0.0,0,"Han Hsiang Li, Tsun-Shou Sung",-106.201,-7.369,-2.601,False,False,False,0,0,0,0
673,Poetry,2010,5.61,0.33,0.0,0,Lee Chang-dong,-106.201,-7.369,-2.321,False,False,False,0,0,0,0
674,Pokrov Gates,1983,5.32,0.316,0.0,0,Mikhail Kozakov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
675,Police Story,1985,5.32,0.316,0.0,0,Jackie Chan,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
676,Prince Ehtejab,1974,5.32,0.316,0.0,0,Bahman Farmanara,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
677,Prisoner of the Mountains,1996,5.33,0.316,0.0,0,Sergei Bodrov,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
678,Profound Desires of the Gods,1968,5.33,0.316,0.0,0,Shôhei Imamura,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
