Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
1,Aladdin,1992,8.064,0.613,"Disney Renaissance, Arabian Nights, Genie, ""A Whole New World""",,,"Won 2 Oscars (Score, Original Song)",,"Ron Clements, John Musker",G,G,25 Nov 1992,90 min,90,"Animation, Adventure, Comedy",Animation,Adventure,8.0,8.0,490592,86,1,2,Won 2 Oscars. 35 wins & 22 nominations total,"Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin","Aladdin is a poor street urchin who spends his time stealing food from the marketplace in the city of Agrabah. His adventures begin when he meets a young girl who happens to be Princess Jasmine, who is forced to be married by her wacky yet estranged father. Aladdin's luck suddenly changes when he retrieves a magical lamp from the Cave of Wonders. What he unwittingly gets is a fun-loving genie who only wishes to have his freedom. Little do they know is that the Sultan's sinister advisor Jafar has his own plans for both Aladdin and the lamp.",English,United States,tt0103639,movie,N/A,"$217,350,219",N/A,"funny, exciting",fast,conventional,general,male,linear,neutral,redemption,original,blockbuster,minimal,low,0,0,0,0,0,0,1,0,0,0,0,1,0
2,American Sniper,2014,8.133,0.633,"Iraq War, Biopic, Sniper, PTSD, Navy SEAL",,,"Nominated for 6 Oscars, inc. Best Picture",,Clint Eastwood,R,R,16 Jan 2015,133 min,133,"Action, Biography, Drama",Action,Biography,7.3,7.3,556779,73,1,2,Won 1 Oscar. 24 wins & 43 nominations total,"Jason Hall, Chris Kyle, Scott McEwen","Bradley Cooper, Sienna Miller, Kyle Gallner","Chris Kyle (Bradley Cooper) was nothing more than a Texas man who dreamt of becoming a cowboy, but in his thirties he found out that maybe his life needed something different, something where he could express his real talent, something that could help America in its fight against terrorism. So he joined the S.E.A.L.s in order to become a sniper. After marrying Taya (Sienna Miller), Kyle and the other members of the team are called for their first tour of Iraq. Kyle's struggle isn't with his missions, but about his relationship with the reality of the war and, once returned at home, how he manages to handle it with his urban life, his wife, and kids.","English, Arabic",United States,tt2179136,movie,N/A,"$350,159,020",N/A,"exciting, emotional",slow,intimate,love,male,surreal,neutral,minimal,original,blockbuster,CGI_heavy,low,0,0,0,0,0,1,0,0,0,0,1,0,0
3,E.T. the Extra-Terrestrial,1982,8.044,0.61,"Alien, Friendship, Childhood, Divorce, ""Phone home""",,,"Won 4 Oscars (Score, Visual, Sound, Sound Editing)",,Steven Spielberg,PG,PG,11 Jun 1982,115 min,115,"Adventure, Family, Sci-Fi",Adventure,Family,7.9,7.9,459047,92,1,2,Won 4 Oscars. 52 wins & 38 nominations total,Melissa Mathison,"Henry Thomas, Drew Barrymore, Peter Coyote","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",English,United States,tt0083866,movie,N/A,"$439,454,989",N/A,exciting,medium,surreal,"family, friendship, survival",male,linear,neutral,minimal,original,blockbuster,practical_effects,low,0,0,0,0,0,0,0,0,0,0,0,1,1
4,Jaws,1975,8.077,0.616,"Summer, Shark, Thriller, Blockbuster, Amity",,,"Won 3 Oscars (Editing, Sound, Score)",,Steven Spielberg,PG,PG,20 Jun 1975,124 min,124,"Adventure, Horror, Thriller",Adventure,Horror,8.1,8.1,712722,87,1,2,Won 3 Oscars. 16 wins & 20 nominations total,"Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss","It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat.",English,United States,tt0073195,movie,N/A,"$270,343,625",N/A,"suspenseful, exciting",slow,conventional,general,male,linear,neutral,minimal,original,blockbuster,minimal,low,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Skyfall,2012,8.235,0.618,"James Bond, MI6, Betrayal, Revenge, Silva",,,"Won 2 Oscars (Sound Editing, Original Song)",,Sam Mendes,PG-13,PG-13,09 Nov 2012,143 min,143,"Action, Adventure, Thriller",Action,Adventure,7.8,7.8,756423,81,1,2,Won 2 Oscars. 69 wins & 125 nominations total,"Neal Purvis, Robert Wade, John Logan","Daniel Craig, Javier Bardem, Naomie Harris","When James Bond's (Daniel Craig's) latest assignment goes gravely wrong and Agents around the world are exposed, MI6 is attacked, forcing (M Dame Judi Dench) to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows, aided only by field agent, Miss Eve Moneypenny (Naomie Harris), following a trail to the mysterious Tiago Rodriguez, a.k.a. Raoul Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.","English, Turkish, Shanghainese, Portuguese, Japanese","United Kingdom, United States, Turkey, China",tt1074638,movie,N/A,"$304,360,277",N/A,"suspenseful, exciting",slow,conventional,general,female,linear,neutral,minimal,original,blockbuster,CGI_heavy,high,0,0,0,0,0,0,0,0,0,0,1,1,0
6,Star Wars: Episode V - The Empire Strikes Back,1980,8.124,0.63,"Space Opera, Rebellion, ""I am your father"", Dagobah, Hoth",,,"Won Oscar for Best Sound, Special Achievement (Visual)",,Irvin Kershner,PG,PG,18 Jun 1980,124 min,124,"Action, Adventure, Fantasy",Action,Adventure,8.7,8.7,1465206,82,1,2,Won 1 Oscar. 27 wins & 21 nominations total,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.",English,United States,tt0080684,movie,N/A,"$292,753,960",N/A,exciting,slow,surreal,survival,unknown,linear,neutral,minimal,original,blockbuster,practical_effects,low,0,0,0,0,0,0,0,0,0,0,1,1,0
7,Suicide Squad,2016,7.279,0.532,"DC Comics, Supervillains, Task Force X, Antiheroes",,,Won Oscar for Best Makeup & Hairstyling,,David Ayer,PG-13,PG-13,05 Aug 2016,123 min,123,"Action, Adventure, Fantasy",Action,Adventure,5.9,5.9,743383,40,1,2,Won 1 Oscar. 18 wins & 41 nominations total,"David Ayer, John Ostrander","Will Smith, Jared Leto, Margot Robbie","It feels good to be bad...Assemble a team of the world's most dangerous, incarcerated Super Villains, provide them with the most powerful arsenal at the government's disposal, and send them off on a mission to defeat an enigmatic, insuperable entity. U.S. intelligence officer Amanda Waller has determined only a secretly convened group of disparate, despicable individuals with next to nothing to lose will do. However, once they realize they weren't picked to succeed but chosen for their patent culpability when they inevitably fail, will the Suicide Squad resolve to die trying, or decide it's every man for himself?","English, Japanese, Spanish",United States,tt1386697,movie,N/A,"$325,100,054",N/A,exciting,slow,surreal,general,male,linear,neutral,minimal,original,blockbuster,CGI_heavy,low,0,0,0,0,0,0,0,0,0,0,1,1,0
8,Terminator 2: Judgment Day,1991,8.087,0.626,"Sci-Fi Action, AI, Cyborg, Apocalypse, Mother-Son",,,Won 4 Oscars (all technical),,James Cameron,R,R,03 Jul 1991,137 min,137,"Action, Adventure, Sci-Fi",Action,Adventure,8.6,8.6,1251094,75,1,2,Won 4 Oscars. 39 wins & 33 nominations total,"James Cameron, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","Over 10 years have passed since the first machine called The Terminator tried to kill Sarah Connor and her unborn son, John. The man who will become the future leader of the human resistance against the Machines is now a healthy young boy. However, another Terminator, called the T-1000, is sent back through time by the supercomputer Skynet. This new Terminator is more advanced and more powerful than its predecessor and its mission is to kill John Connor when he's still a child. However, Sarah and John do not have to face the threat of the T-1000 alone. Another Terminator (identical to the same model that tried and failed to kill Sarah Connor in 1984) is also sent back through time to protect them. Now, the battle for tomorrow has begun.","English, Spanish","United States, France",tt0103064,movie,N/A,"$205,881,154",N/A,exciting,slow,surreal,family,ensemble,linear,neutral,minimal,original,blockbuster,practical_effects,medium,0,0,0,0,0,0,0,0,0,0,1,1,1
