Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
49,tt25375244,2025-10-11,2025-10-11,,"Sleeping Dog","Schlafende Hunde",https://www.imdb.com/title/tt25375244/,TV Series,7.0,55,2023,"Crime, Drama, Mystery, Thriller",8973,2023-06-22,,,
50,tt12875782,2025-10-11,2025-10-11,,"Freaks: You're One of Us","Freaks - Du bist eine von uns",https://www.imdb.com/title/tt12875782/,Movie,5.4,92,2020,"Drama, Fantasy, Sci-Fi",7245,2020-09-02,"Felix Binder",,
51,tt18073328,2025-10-11,2025-10-11,,"Blood & Gold","Blood & Gold",https://www.imdb.com/title/tt18073328/,Movie,6.5,98,2023,"Action, Drama, War",19525,2023-05-26,"Peter Thorwarth",,
52,tt8613876,2025-10-11,2025-10-11,,"Kidnapping Stella","Kidnapping Stella",https://www.imdb.com/title/tt8613876/,Movie,4.9,89,2019,"Crime, Drama, Thriller",6978,2019-07-12,"Thomas Sieben",,
53,tt21044524,2025-10-11,2025-10-11,,"For Jojo","Für Jojo",https://www.imdb.com/title/tt21044524/,Movie,4.1,96,2022,"Drama",362,2022-07-11,"Barbara Ott",,
54,tt13279528,2025-10-11,2025-10-11,,"What We Wanted","Was wir wollten",https://www.imdb.com/title/tt13279528/,Movie,5.9,93,2020,"Drama",2145,2020-11-11,"Ulrike Kofler",,
55,tt15198608,2025-10-11,2025-10-11,,"Prey","Prey",https://www.imdb.com/title/tt15198608/,Movie,4.4,87,2021,"Adventure, Drama, Thriller",9987,2021-09-10,"Thomas Sieben",,
56,tt10243672,2025-10-11,2025-10-11,,"Joy","Joy",https://www.imdb.com/title/tt10243672/,Movie,7.1,115,2024,"Biography, Drama, History",10840,2024-11-22,"Ben Taylor",,
57,tt31592633,2025-10-11,2025-10-11,,"Crime Scene Berlin: Nightlife Killer","Crime Scene Berlin: Nightlife Killer",https://www.imdb.com/title/tt31592633/,TV Mini Series,5.8,106,2024,"Documentary, Crime",1577,2024-04-03,,,
58,tt21955940,2025-10-11,2025-10-11,,"Close to Home: Murder in the Coalfield","Lauchhammer - Tod in der Lausitz",https://www.imdb.com/title/tt21955940/,TV Mini Series,6.4,45,2022,"Crime, Drama, Mystery",2178,2023-03-22,,,
59,tt28301898,2025-10-11,2025-10-11,,"Blame the Game","Spieleabend",https://www.imdb.com/title/tt28301898/,Movie,5.4,92,2024,"Comedy, Romance, Thriller",5611,2024-07-12,"Marco Petry",,
60,tt14637290,2025-10-11,2025-10-11,,"The Privilege","Das Privileg",https://www.imdb.com/title/tt14637290/,TV Movie,4.7,107,2022,"Drama, Horror, Mystery, Sci-Fi, Thriller",6584,2022-02-09,"Felix Fuchssteiner, Katharina Schöde",,
