Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
37,tt0259072,2025-06-11,2025-06-11,,"A Time for Drunken Horses","Zamani baray-e masti-e asbha",https://www.imdb.com/title/tt0259072/,Movie,7.7,80,2000,"Drama, War",9378,2000-09-13,"Bahman Ghobadi",,
38,tt0072254,2025-06-11,2025-06-11,,"Tight Spot","Tangsir",https://www.imdb.com/title/tt0072254/,Movie,7.7,114,1973,"Drama, Thriller",946,1973-01-31,"Amir Naderi",,
39,tt0187809,2025-06-11,2025-06-11,,"The Pear Tree","Derakhte Golabi",https://www.imdb.com/title/tt0187809/,Movie,7.4,95,1998,"Drama, Romance",1836,1998-10,"Dariush Mehrjui",,
40,tt0064368,2025-06-11,2025-06-11,,"Gheisar","Gheisar",https://www.imdb.com/title/tt0064368/,Movie,7.6,100,1969,"Crime, Drama",4015,1969-12-31,"Masud Kimiai",,
41,tt1509132,2025-06-11,2025-06-11,,"The White Meadows","Keshtzar haye sepid",https://www.imdb.com/title/tt1509132/,Movie,7.6,92,2009,"Drama",1243,2010-04-23,"Mohammad Rasoulof",,
42,tt0116851,2025-06-11,2025-06-11,,"Leila","Leila",https://www.imdb.com/title/tt0116851/,Movie,7.4,102,1997,"Drama, Family, Romance",4354,2017-12-06,"Dariush Mehrjui",,
43,tt0209463,2025-06-11,2025-06-11,,"The Wind Will Carry Us","Bad ma ra khahad bord",https://www.imdb.com/title/tt0209463/,Movie,7.4,118,1999,"Drama",13503,1999-11-24,"Abbas Kiarostami",,
44,tt0395461,2025-06-11,2025-06-11,,"Bab'Aziz: The Prince That Contemplated His Soul","Bab'Aziz",https://www.imdb.com/title/tt0395461/,Movie,7.5,96,2005,"Drama",3953,2006-05-11,"Nacer Khemir",,
45,tt3921314,2025-06-11,2025-06-11,,"Muhammad: The Messenger of God","Mohammad Rasoolollah",https://www.imdb.com/title/tt3921314/,Movie,7.2,162,2015,"Biography, Drama, History",12766,2015-08-27,"Majid Majidi",,
46,tt7901798,2025-06-11,2025-06-11,,"Sheeple","Maghzhaye Koochake Zang Zadeh",https://www.imdb.com/title/tt7901798/,Movie,7.6,103,2018,"Crime, Drama, Thriller",8231,2018-09-26,"Houman Seyyedi",,
47,tt0071859,2025-06-11,2025-06-11,,"The Traveler","Mossafer",https://www.imdb.com/title/tt0071859/,Movie,7.5,83,1974,"Drama",2419,1974,"Abbas Kiarostami",,
48,tt0371280,2025-06-11,2025-06-11,,"Crimson Gold","Talaye sorkh",https://www.imdb.com/title/tt0371280/,Movie,7.4,95,2003,"Crime, Drama, Thriller",5669,2003-09-12,"Jafar Panahi",,
49,tt0117315,2025-06-11,2025-06-11,,"The Father","Pedar",https://www.imdb.com/title/tt0117315/,Movie,7.4,91,1996,"Drama",1771,1996,"Majid Majidi",,
50,tt0301978,2025-06-11,2025-06-11,,"Ten","Dah",https://www.imdb.com/title/tt0301978/,Movie,7.4,94,2002,"Drama",8970,2002-09-18,"Abbas Kiarostami",,
51,tt0117056,2025-06-11,2025-06-11,,"The Mirror","Ayneh",https://www.imdb.com/title/tt0117056/,Movie,7.5,95,1997,"Drama",3401,1998-11-25,"Jafar Panahi",,
52,tt0104919,2025-06-11,2025-06-11,,"Travellers","Mosaferan",https://www.imdb.com/title/tt0104919/,Movie,7.4,90,1992,"Drama",1309,1994-02,"Bahram Beyzaie",,
53,tt1113810,2025-06-11,2025-06-11,,"M like Mother","Mim mesle madar",https://www.imdb.com/title/tt1113810/,Movie,7.4,113,2006,"Drama",5965,2006-10-25,"Rasool Mollagholi Poor",,
54,tt0483703,2025-06-11,2025-06-11,,"So Close, So Far","Kheyli Door, Kheyli Nazdik",https://www.imdb.com/title/tt0483703/,Movie,7.4,121,2005,"Drama",2925,2005-07-27,"Reza Mirkarimi",,
55,tt0125718,2025-06-11,2025-06-11,,"The Love-stricken","Del Shodegan",https://www.imdb.com/title/tt0125718/,Movie,7.4,91,1992,"Drama, History, Music",1222,1992,"Ali Hatami",,
56,tt0067649,2025-06-11,2025-06-11,,"Downpour","Ragbar",https://www.imdb.com/title/tt0067649/,Movie,7.2,128,1972,"Comedy, Drama, Romance",1141,1972-11,"Bahram Beyzaie",,
57,tt0385277,2025-06-11,2025-06-11,,"The Music Man","Santouri",https://www.imdb.com/title/tt0385277/,Movie,7.5,107,2007,"Drama, Musical, Romance",9814,2007-02-01,"Dariush Mehrjui",,
58,tt6272704,2025-06-11,2025-06-11,,"Breath","Nafas",https://www.imdb.com/title/tt6272704/,Movie,7.4,112,2016,"Drama, Family, Fantasy, War",1899,2016-11-09,"Narges Abyar",,
59,tt8522820,2025-06-11,2025-06-11,,"The Warden","Sorkhpoost",https://www.imdb.com/title/tt8522820/,Movie,7.3,87,2019,"Drama, History, Mystery, Romance, Thriller",8337,2019-06-05,"Nima Javidi",,
60,tt0079997,2025-06-11,2025-06-11,,"Ballad of Tara","Tcherike-ye Tara",https://www.imdb.com/title/tt0079997/,Movie,7.5,110,1979,"Drama, Fantasy",858,1979-04-01,"Bahram Beyzaie",,
61,tt0104974,2025-06-11,2025-06-11,,"Once Upon a Time, Cinema","Nassereddin Shah, Actor-e Cinema",https://www.imdb.com/title/tt0104974/,Movie,7.3,92,1992,"Comedy, Drama, Fantasy, History",1285,1992-02-01,"Mohsen Makhmalbaf",,
62,tt0077403,2025-06-11,2025-06-11,,"The Cycle","Dayereh mina",https://www.imdb.com/title/tt0077403/,Movie,7.3,101,1977,"Drama",951,1978-04-12,"Dariush Mehrjui",,
63,tt0415607,2025-06-11,2025-06-11,,"The Willow Tree","Beed-e majnoon",https://www.imdb.com/title/tt0415607/,Movie,7.3,96,2005,"Drama",4667,2007-08-03,"Majid Majidi",,
64,tt0255094,2025-06-11,2025-06-11,,"The Circle","Dayereh",https://www.imdb.com/title/tt0255094/,Movie,7.4,90,2000,"Drama",7052,2000-09-09,"Jafar Panahi",,
65,tt0122186,2025-06-11,2025-06-11,,"Captain Khorshid","Nakhoda Khorshid",https://www.imdb.com/title/tt0122186/,Movie,7.4,118,1987,"Crime, Drama",1342,1987,"Nasser Taghvai",,
66,tt0319843,2025-06-11,2025-06-11,,"The Mandrake","Mehre giah",https://www.imdb.com/title/tt0319843/,Movie,7.2,105,1975,"Drama, Mystery",59,1975,"Fereydun Gole",,
67,tt1431332,2025-06-11,2025-06-11,,"We Only Live Twice","Tanha do bar zendegi mikonim",https://www.imdb.com/title/tt1431332/,Movie,7.4,100,2008,"Drama",578,2009-12-16,"Behnam Behzadi",,
68,tt0250125,2025-06-11,2025-06-11,,"Under the Skin of the City","Zir-e poost-e shahr",https://www.imdb.com/title/tt0250125/,Movie,7.2,92,2001,"Drama",1745,2005-05-25,"Rakhshan Banietemad",,
69,tt0309565,2025-06-11,2025-06-11,,"Low Heights","Ertefa-e Past",https://www.imdb.com/title/tt0309565/,Movie,7.2,110,2002,"Action, Adventure, Thriller",4006,2002-07-24,"Ebrahim Hatamikia",,
70,tt0072117,2025-06-11,2025-06-11,,"Harmonica","Saz Dahani",https://www.imdb.com/title/tt0072117/,Movie,7.5,75,1974,"Drama, Family",545,1974,"Amir Naderi",,
71,tt0317226,2025-06-11,2025-06-11,,"Marooned in Iraq","Gomgashtei dar Aragh",https://www.imdb.com/title/tt0317226/,Movie,7.3,100,2002,"Drama, War",1690,2002-10-09,"Bahman Ghobadi",,
72,tt0319640,2025-06-11,2025-06-11,,"Beehive","Kandu",https://www.imdb.com/title/tt0319640/,Movie,7.3,103,1975,"Drama",1064,1975,"Fereydun Gole",,
73,tt0087530,2025-06-11,2025-06-11,,"Kamalolmolk","Kamalolmolk",https://www.imdb.com/title/tt0087530/,Movie,7.5,122,1984,"Biography, Drama, History",1286,1984,"Ali Hatami",,
74,tt0243218,2025-06-11,2025-06-11,,"Willow and Wind","Bid-o Bad",https://www.imdb.com/title/tt0243218/,Movie,7.7,81,1999,"Drama, Family",551,2003-04-11,"Mohammad Ali Talebi",,
75,tt2848876,2025-06-11,2025-06-11,,"The Painting Pool","Howze Naghashi",https://www.imdb.com/title/tt2848876/,Movie,7.4,92,2013,"Drama, Romance",6154,2013-03-13,"Maziar Miri",,
76,tt0477585,2025-06-11,2025-06-11,,"Border Café","Café Transit",https://www.imdb.com/title/tt0477585/,Movie,7.3,107,2005,"Drama, Romance",2222,2005-11-03,"Kambuzia Partovi",,
