Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
86,tt1931470,2025-08-04,2025-08-04,,"Declaration of War","La guerre est déclarée",https://www.imdb.com/title/tt1931470/,Movie,7.0,100,2011,"Drama",5428,2011-08-31,"Valérie Donzelli",,
87,tt0096841,2025-08-04,2025-08-04,,"The Asthenic Syndrome","Astenicheskiy sindrom",https://www.imdb.com/title/tt0096841/,Movie,6.5,153,1989,"Drama",1544,1990-08-01,"Kira Muratova",,
88,tt0423433,2025-08-04,2025-08-04,,"Remote Access","Udalyonnyy dostup",https://www.imdb.com/title/tt0423433/,Movie,6.1,85,2004,"Drama",50,2004-09-03,"Svetlana Proskurina",,
89,tt1766044,2025-08-04,2025-08-04,,"Poslednyaya skazka Rity","Poslednyaya skazka Rity",https://www.imdb.com/title/tt1766044/,Movie,6.8,100,2012,"Drama, Fantasy, Mystery",694,2012-10-18,"Renata Litvinova",,
90,tt3646344,2025-08-04,2025-08-04,,"Sworn Virgin","Vergine giurata",https://www.imdb.com/title/tt3646344/,Movie,6.4,84,2015,"Drama",1310,2015-03-19,"Laura Bispuri",,
91,tt0071910,2025-08-04,2025-08-04,,"The Night Porter","Il portiere di notte",https://www.imdb.com/title/tt0071910/,Movie,6.6,118,1974,"Drama",15983,1974-10-01,"Liliana Cavani",,
92,tt7186092,2025-08-04,2025-08-04,,"Nico, 1988","Nico, 1988",https://www.imdb.com/title/tt7186092/,Movie,6.7,93,2017,"Biography, Drama, Music",2168,2018-08-01,"Susanna Nicchiarelli",,
93,tt0329468,2025-08-04,2025-08-04,,"For One More Hour with You","Un'ora sola ti vorrei",https://www.imdb.com/title/tt0329468/,Movie,7.8,55,2002,"Documentary, Biography",225,2005-07-08,"Alina Marazzi",,
94,tt0332136,2025-08-04,2025-08-04,,"If Only","If Only",https://www.imdb.com/title/tt0332136/,Movie,7.0,92,2004,"Comedy, Drama, Fantasy, Romance",34843,2004-07-15,"Gil Junger",6,2020-12-26
95,tt2008006,2025-08-04,2025-08-04,,"A Simple Life","Tou ze",https://www.imdb.com/title/tt2008006/,Movie,7.5,118,2011,"Drama",6573,2012-03-05,"Ann Hui",,
96,tt7479718,2025-08-04,2025-08-04,,"Love Education","Xiang ai xiang qin",https://www.imdb.com/title/tt7479718/,Movie,7.3,120,2017,"Drama, Music",1056,2017-11-03,"Sylvia Chang",,
97,tt1745713,2025-08-04,2025-08-04,,"Buddha Mountain","Guan yin shan",https://www.imdb.com/title/tt1745713/,Movie,6.7,105,2010,"Drama",1019,2011-03-04,"Yu Li",,
98,tt1510857,2025-08-04,2025-08-04,,"Wan mei sheng huo","Wan mei sheng huo",https://www.imdb.com/title/tt1510857/,Movie,6.0,97,2008,"Drama",36,2008-08-28,"Emily Tang",,
99,tt7205208,2025-08-04,2025-08-04,,"Angels Wear White","Jia nian hua",https://www.imdb.com/title/tt7205208/,Movie,7.1,107,2017,"Drama",2640,2018-05-04,"Vivian Qu",,
100,tt0115005,2025-08-04,2025-08-04,,"Xiu Xiu: The Sent-Down Girl","Tian yu",https://www.imdb.com/title/tt0115005/,Movie,7.5,99,1998,"Drama",3811,1999-04-29,"Joan Chen",,
101,tt1621780,2025-08-04,2025-08-04,,"Go Lala Go!","Du Lala sheng zhi ji",https://www.imdb.com/title/tt1621780/,Movie,5.2,105,2010,"Comedy, Drama, Romance",731,2010-04-15,"Jinglei Xu",,
102,tt0334732,2025-08-04,2025-08-04,,"Xi wang zhi lü","Xi wang zhi lü",https://www.imdb.com/title/tt0334732/,Movie,7.7,56,2002,"Documentary",51,2002-09-12,"Ying Ning",,
103,tt7955712,2025-08-04,2025-08-04,,"Girls Always Happy","Rou qing shi",https://www.imdb.com/title/tt7955712/,Movie,6.1,117,2018,"Drama",146,2018-06-08,"Yang Mingming",,
104,tt3230162,2025-08-04,2025-08-04,,"Still the Water","Futatsume no mado",https://www.imdb.com/title/tt3230162/,Movie,6.7,121,2014,"Drama, Romance",3197,2014-07-26,"Naomi Kawase",,
105,tt0794338,2025-08-04,2025-08-04,,"Sakuran","Sakuran",https://www.imdb.com/title/tt0794338/,Movie,6.7,111,2006,"Drama, History",2260,2007-02-24,"Mika Ninagawa",,
106,tt1077094,2025-08-04,2025-08-04,,"One Million Yen Girl","Hyakuman-en to nigamushi onna",https://www.imdb.com/title/tt1077094/,Movie,7.2,121,2008,"Drama",2184,2008-07-19,"Yuki Tanada",,
107,tt1446204,2025-08-04,2025-08-04,,"Urutora mirakuru rabu sutôrî","Urutora mirakuru rabu sutôrî",https://www.imdb.com/title/tt1446204/,Movie,5.9,120,2009,"Comedy, Drama, Romance",260,2009-06-06,"Satoko Yokohama",,
108,tt3684484,2025-08-04,2025-08-04,,"Fatal Frame","Gekijô-ban: Zero",https://www.imdb.com/title/tt3684484/,Movie,5.7,104,2014,"Horror",707,2014-09-26,"Mari Asato",,
109,tt7760890,2025-08-04,2025-08-04,,"I Was at Home, But...","Ich war zuhause, aber",https://www.imdb.com/title/tt7760890/,Movie,5.5,105,2019,"Drama",1269,2020-02-14,"Angela Schanelec",,
110,tt0077150,2025-08-04,2025-08-04,,"Die allseitig reduzierte Persönlichkeit - Redupers","Die allseitig reduzierte Persönlichkeit - Redupers",https://www.imdb.com/title/tt0077150/,Movie,6.4,98,1978,"Drama",288,1978-02-27,"Helke Sander",,
111,tt0130141,2025-08-04,2025-08-04,,"The Cat Has Nine Lives","Neun Leben hat die Katze",https://www.imdb.com/title/tt0130141/,Movie,5.5,91,1968,"Drama",299,2018-01-18,"Ula Stöckl",,
112,tt1674773,2025-08-04,2025-08-04,,"Hannah Arendt","Hannah Arendt",https://www.imdb.com/title/tt1674773/,Movie,7.1,113,2012,"Biography, Drama",12365,2013-01-10,"Margarethe von Trotta",,
113,tt6463494,2025-08-04,2025-08-04,,"3 Days in Quiberon","3 Tage in Quiberon",https://www.imdb.com/title/tt6463494/,Movie,6.8,115,2018,"Drama",1606,2018-04-12,"Emily Atef",,
114,tt0910559,2025-08-04,2025-08-04,,"Cherry Blossoms","Kirschblüten - Hanami",https://www.imdb.com/title/tt0910559/,Movie,7.6,127,2008,"Drama, Romance",6272,2008-03-06,"Doris Dörrie",,
115,tt4071086,2025-08-04,2025-08-04,,"Wild","Wild",https://www.imdb.com/title/tt4071086/,Movie,6.4,97,2016,"Drama, Mystery",1689,2016-04-14,"Nicolette Krebitz",,
116,tt0209933,2025-08-04,2025-08-04,,"Beau Travail","Beau travail",https://www.imdb.com/title/tt0209933/,Movie,7.3,92,1999,"Drama, War",17369,2000-05-03,"Claire Denis",,
117,tt0055852,2025-08-04,2025-08-04,,"Cléo from 5 to 7","Cléo de 5 à 7",https://www.imdb.com/title/tt0055852/,Movie,7.8,90,1962,"Comedy, Drama, Music",30284,1962-04-11,"Agnès Varda",,
118,tt0028358,2025-08-04,2025-08-04,,"Things to Come","Things to Come",https://www.imdb.com/title/tt0028358/,Movie,6.6,100,1936,"Drama, Sci-Fi, War",9847,1936-09-14,"William Cameron Menzies",,
119,tt15376894,2025-08-04,2025-08-04,,"Saint Omer","Saint Omer",https://www.imdb.com/title/tt15376894/,Movie,6.8,122,2022,"Drama",6085,2022-11-23,"Alice Diop",,
120,tt10944760,2025-08-04,2025-08-04,,"Titane","Titane",https://www.imdb.com/title/tt10944760/,Movie,6.5,108,2021,"Drama, Horror, Sci-Fi, Thriller",64123,2021-10-01,"Julia Ducournau",6,2022-07-21
121,tt15403712,2025-08-04,2025-08-04,,"Other People's Children","Les enfants des autres",https://www.imdb.com/title/tt15403712/,Movie,6.8,103,2022,"Comedy, Drama, Romance",3292,2022-09-21,"Rebecca Zlotowski",,
122,tt4291590,2025-08-04,2025-08-04,,"Evolution","Évolution",https://www.imdb.com/title/tt4291590/,Movie,5.9,81,2015,"Drama, Horror, Mystery, Sci-Fi",7907,2016-11-25,"Lucile Hadzihalilovic",,
123,tt0075040,2025-08-04,2025-08-04,,"Seven Beauties","Pasqualino Settebellezze",https://www.imdb.com/title/tt0075040/,Movie,7.7,116,1975,"Comedy, Drama, War",6904,1976-01-21,"Lina Wertmüller",,
124,tt6752992,2025-08-04,2025-08-04,,"Happy as Lazzaro","Lazzaro felice",https://www.imdb.com/title/tt6752992/,Movie,7.5,128,2018,"Drama, Fantasy, Mystery",22671,2018-11-30,"Alice Rohrwacher",,
125,tt1966637,2025-08-04,2025-08-04,,"A Street in Palermo","Via Castellana Bandiera",https://www.imdb.com/title/tt1966637/,Movie,6.5,92,2013,"Comedy, Drama",687,2013-09-19,"Emma Dante",,
126,tt0107040,2025-08-04,2025-08-04,,"Il grande cocomero","Il grande cocomero",https://www.imdb.com/title/tt0107040/,Movie,6.8,95,1993,"Drama, Family",596,1993-02-10,"Francesca Archibugi",,
