Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,Search URL,Column 1,Imdb Search,,,,,
1,tt0053472,2025-08-20,2025-08-20,,Breathless,À bout de souffle,https://www.imdb.com/title/tt0053472/,Movie,7.7,90,1960,"Crime, Drama",91874,2/7/1961,Jean-Luc Godard,,,https://my-subs.co/search.php?key=Breathless+1960,Breathless+1960,https://www.imdb.com/find/?q=Breathless+1960,,,Directors,Average IMDb Rating,Average Your Rating
2,tt0057345,2025-08-20,2025-08-20,,Contempt,Le mépris,https://www.imdb.com/title/tt0057345/,Movie,7.4,102,1963,"Drama, Romance",37774,12/18/1964,Jean-Luc Godard,,,https://my-subs.co/search.php?key=Contempt+1963,Contempt+1963,https://www.imdb.com/find/?q=Contempt+1963,,1,Satyajit Ray,8.13,
3,tt0059592,2025-08-20,2025-08-20,,Pierrot le fou,Pierrot le fou,https://www.imdb.com/title/tt0059592/,Movie,7.4,110,1965,"Crime, Drama, Romance",39154,1/8/1969,Jean-Luc Godard,9,8/9/2020,https://my-subs.co/search.php?key=Pierrot+le+fou+1965,Pierrot+le+fou+1965,https://www.imdb.com/find/?q=Pierrot+le+fou+1965,,2,Alfred Hitchcock,7.98,8.22
4,tt0058898,2025-08-20,2025-08-20,,Alphaville,Alphaville: Une étrange aventure de Lemmy Caution,https://www.imdb.com/title/tt0058898/,Movie,7,99,1965,"Comedy, Drama, Mystery, Sci-Fi, Thriller",29306,5/5/1965,Jean-Luc Godard,,,https://my-subs.co/search.php?key=Alphaville+1965,Alphaville+1965,https://www.imdb.com/find/?q=Alphaville+1965,,3,Ingmar Bergman,7.92,8.50
