Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
66,tt1153040,2025-06-11,2025-06-11,,"Tidal Wave","Haeundae",https://www.imdb.com/title/tt1153040/,Movie,5.5,120,2009,"Action, Drama, Sci-Fi, Thriller",5566,2009-10-09,"JK Youn",,
67,tt9402676,2025-06-11,2025-06-11,,"Door Lock","Doeorak",https://www.imdb.com/title/tt9402676/,Movie,6.4,102,2018,"Horror, Mystery, Thriller",4181,2018-12-05,"Kwon Lee",,
68,tt6083230,2025-06-11,2025-06-11,,"Little Forest","Liteul poleseuteu",https://www.imdb.com/title/tt6083230/,Movie,7.3,103,2018,"Drama",4829,2018-02-28,"Soon-rye Yim",,
69,tt5969696,2025-06-11,2025-06-11,,"The Battleship Island","Gunhamdo",https://www.imdb.com/title/tt5969696/,Movie,7.1,132,2017,"Action, Drama, History",9221,2017-07-26,"Ryoo Seung-wan",,
70,tt2659414,2025-06-11,2025-06-11,,"Miracle in Cell No. 7","7-beon-bang-ui seon-mul",https://www.imdb.com/title/tt2659414/,Movie,8.1,127,2013,"Comedy, Drama",25581,2013-03-08,"Lee Hwan-kyung",7,2025-06-23
71,tt6890618,2025-06-11,2025-06-11,,"Money","Don",https://www.imdb.com/title/tt6890618/,Movie,6.1,115,2019,"Crime, Drama",1137,2019-03-22,"Park Noo-ri",,
72,tt2468774,2025-06-11,2025-06-11,,"Confession of Murder","Naega sarinbeomida",https://www.imdb.com/title/tt2468774/,Movie,7.0,119,2012,"Action, Crime, Mystery, Thriller",12623,2012-11-08,"Jung Byung-gil",,
73,tt9759978,2025-06-11,2025-06-11,,"The Dude in Me","Naean-ui geunom",https://www.imdb.com/title/tt9759978/,Movie,6.9,122,2019,"Action, Comedy, Fantasy",3403,2019-01-09,"Kang Hyo-jin",,
74,tt4844288,2025-06-11,2025-06-11,,"The Treacherous","Gansin",https://www.imdb.com/title/tt4844288/,Movie,6.1,133,2015,"Crime, Drama, History, Thriller",2501,2015-04-04,"Kyu-dong Min",,
75,tt8116428,2025-06-11,2025-06-11,,"Along With the Gods: The Last 49 Days","Sin-gwa ham-kke: In-gwa yeon",https://www.imdb.com/title/tt8116428/,Movie,7.1,142,2018,"Action, Adventure, Drama, Fantasy, Thriller",10275,2018-08-01,"Kim Yong-hwa",,
76,tt0386064,2025-06-11,2025-06-11,,"Tae Guk Gi: The Brotherhood of War","Taegukgi hwinallimyeo",https://www.imdb.com/title/tt0386064/,Movie,8.0,140,2004,"Action, Drama, War",42036,2004-09-24,"Kang Je-kyu",,
77,tt8951086,2025-06-11,2025-06-11,,"House of Hummingbird","Beolsae",https://www.imdb.com/title/tt8951086/,Movie,7.4,138,2018,"Drama",4237,2020-06-26,"Kim Bo-ra",,
78,tt4273886,2025-06-11,2025-06-11,,"The Beauty Inside","Byuti insaideu",https://www.imdb.com/title/tt4273886/,Movie,7.3,127,2015,"Drama, Fantasy, Romance",8714,2015-09-11,"Jong-Yeol Baek",,
79,tt8119680,2025-06-11,2025-06-11,,"Dark Figure of Crime","Amsusarin",https://www.imdb.com/title/tt8119680/,Movie,6.7,110,2018,"Crime, Drama, Thriller",2727,2018-10-03,"Tae-Gyun Kim",,
80,tt0817225,2025-06-11,2025-06-11,,"Secret Sunshine","Miryang",https://www.imdb.com/title/tt0817225/,Movie,7.5,142,2007,"Drama",10439,2010-12-22,"Lee Chang-dong",,
81,tt7046974,2025-06-11,2025-06-11,,"Swing Kids","Seuwingkizeu",https://www.imdb.com/title/tt7046974/,Movie,7.5,133,2018,"Drama, Musical, War",3107,2018-12-21,"Kang Hyoung-chul",,
82,tt1287878,2025-06-11,2025-06-11,,"Poetry","Si",https://www.imdb.com/title/tt1287878/,Movie,7.8,139,2010,"Drama",14445,2011-02-11,"Lee Chang-dong",,
83,tt3697566,2025-06-11,2025-06-11,,"No Tears for the Dead","Uneun namja",https://www.imdb.com/title/tt3697566/,Movie,6.7,116,2014,"Action, Crime, Drama, Thriller",7693,2014-06-04,"Lee Jeong-beom",,
84,tt9018916,2025-06-11,2025-06-11,,"The Battle of Jangsari","Jangsa-ri 9.15",https://www.imdb.com/title/tt9018916/,Movie,6.3,104,2019,"War",2025,2019-10-11,"Tae-hun Kim, Kwak Kyung-taek",,
85,tt0497137,2025-06-11,2025-06-11,,"I'm a Cyborg, But That's OK","Ssa-i-bo-geu-ji-man-gwen-chan-a",https://www.imdb.com/title/tt0497137/,Movie,6.9,107,2006,"Comedy, Drama, Romance",26767,2006-12-07,"Park Chan-wook",,
86,tt0320193,2025-06-11,2025-06-11,,"Oasis","Oasiseu",https://www.imdb.com/title/tt0320193/,Movie,7.8,133,2002,"Drama, Romance",11227,2004-05-07,"Lee Chang-dong",,
87,tt2330866,2025-06-11,2025-06-11,,"The Thieves","Dodookdeul",https://www.imdb.com/title/tt2330866/,Movie,6.8,135,2012,"Action, Comedy, Crime, Thriller",12138,2012-07-25,"Dong-hoon Choi",,
88,tt1646959,2025-06-11,2025-06-11,,"Bedevilled","Kim Bok-nam salinsageonui jeonmal",https://www.imdb.com/title/tt1646959/,Movie,7.2,115,2010,"Drama, Horror, Thriller",18788,2012-10-09,"Cheol-soo Jang",,
89,tt3845670,2025-06-11,2025-06-11,,"Seoul Station","Seoul yeok",https://www.imdb.com/title/tt3845670/,Movie,6.1,92,2016,"Animation, Action, Horror, Sci-Fi, Thriller",8474,2016-08-17,"Yeon Sang-ho",,
90,tt0348568,2025-06-11,2025-06-11,,"The Classic","Keulraesik",https://www.imdb.com/title/tt0348568/,Movie,7.7,127,2003,"Drama, Romance",10708,2003-01-30,"Jae-young Kwak",,
91,tt3697626,2025-06-11,2025-06-11,,"A Hard Day","Kkeutkkaji ganda",https://www.imdb.com/title/tt3697626/,Movie,7.2,111,2014,"Action, Crime, Thriller",17959,2014-05-29,"Kim Seong-hun",,
92,tt2969656,2025-06-11,2025-06-11,,"Cold Eyes","Gamsijadeul",https://www.imdb.com/title/tt2969656/,Movie,7.1,119,2013,"Action, Crime, Thriller",9004,2013-07-03,"Kim Byung-seo, Jo Ui-seok",,
93,tt7938092,2025-06-11,2025-06-11,,"On Your Wedding Day","Neoeui kyeolhoonsik",https://www.imdb.com/title/tt7938092/,Movie,7.1,110,2018,"Comedy, Drama, Romance",4295,2018-08-22,"Lee Seok-geun",,
94,tt6302006,2025-06-11,2025-06-11,,"Misbehavior","Yeogyosa",https://www.imdb.com/title/tt6302006/,Movie,5.8,96,2016,"Drama, Romance, Thriller",560,2017-01-04,"Kim Tae-yong",,
95,tt0817544,2025-06-11,2025-06-11,,"Never Forever","Never Forever",https://www.imdb.com/title/tt0817544/,Movie,6.4,104,2007,"Drama, Romance",1744,2008-04-11,"Gina Kim",,
96,tt3303730,2025-06-11,2025-06-11,,"Obsessed","In-gan-jung-dok",https://www.imdb.com/title/tt3303730/,Movie,6.3,132,2014,"Drama",2928,2015-01-15,"Kim Dae-woo",,
97,tt3153634,2025-06-11,2025-06-11,,"Hope","So-won",https://www.imdb.com/title/tt3153634/,Movie,8.2,122,2013,"Drama",11265,2017-04-04,"Lee Joon-ik",8,2025-06-23
98,tt3404158,2025-06-11,2025-06-11,,"The Suspect","Yong-eui-ja",https://www.imdb.com/title/tt3404158/,Movie,6.8,137,2013,"Action, Drama, Thriller",7208,2014-01-10,"Won Shin-yeon",,
99,tt7056732,2025-06-11,2025-06-11,,"Midnight Runners","Cheong-nyeon-gyeong-chal",https://www.imdb.com/title/tt7056732/,Movie,7.3,109,2017,"Action, Comedy",11316,2017-08-25,"Kim Joo-hwan",,
100,tt0940642,2025-06-11,2025-06-11,,"200 Pounds Beauty","Minyeo-neun goerowo",https://www.imdb.com/title/tt0940642/,Movie,6.7,120,2006,"Comedy, Drama, Music, Romance",9237,2006-12-14,"Kim Yong-hwa",,
