Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
36,tt0291771,2025-06-11,2025-06-11,,"Al-boustaguy","Al-boustaguy",https://www.imdb.com/title/tt0291771/,Movie,7.2,114,1968,"Drama",371,1968-04-15,"Hussein Kamal",,
37,tt0329253,2025-06-11,2025-06-11,,"The Massacre of Kafr Kassem","Kafr kasem",https://www.imdb.com/title/tt0329253/,Movie,6.6,108,1975,"Drama",84,1975-01,"Borhane Alaouié",,
38,tt1772424,2025-06-11,2025-06-11,,"Where Do We Go Now?","Et maintenant on va où?",https://www.imdb.com/title/tt1772424/,Movie,7.4,110,2011,"Comedy, Drama",13938,2011-09-14,"Nadine Labaki",,
39,tt0074168,2025-06-11,2025-06-11,,"Return of the Prodigal Son","Awdat al ibn al dal",https://www.imdb.com/title/tt0074168/,Movie,7.1,120,1978,"Crime, Drama, Musical",1038,1976-09-24,"Youssef Chahine",,
40,tt3084114,2025-06-11,2025-06-11,,"The Innocent","Al Baree'",https://www.imdb.com/title/tt3084114/,Movie,8.2,110,1986,"Drama, Thriller",1693,1986-08-15,"Atef El-Tayeb",,
41,tt0406551,2025-06-11,2025-06-11,,"Bab el shams","Bab el shams",https://www.imdb.com/title/tt0406551/,Movie,7.7,278,2004,"Romance, Drama, War",436,2005-01-19,"Yousry Nasrallah",,
42,tt0119629,2025-06-11,2025-06-11,,"Destiny","Al-massir",https://www.imdb.com/title/tt0119629/,Movie,7.1,135,1997,"Comedy, Drama, History, Musical, Romance",3386,1998-10-16,"Youssef Chahine",,
43,tt3359808,2025-06-11,2025-06-11,,"Hallaq darb al-foauqara","Hallaq darb al-foauqara",https://www.imdb.com/title/tt3359808/,Movie,5.5,105,1982,"Drama",23,,"Mohamed Reggab",,
44,tt2258858,2025-06-11,2025-06-11,,"Wadjda","Wadjda",https://www.imdb.com/title/tt2258858/,Movie,7.5,98,2012,"Comedy, Drama",22080,2013-05-16,"Haifaa Al-Mansour",10,2025-06-23
45,tt0455950,2025-06-11,2025-06-11,,"A Flood in Baath Country","A Flood in Baath Country",https://www.imdb.com/title/tt0455950/,Movie,7.3,46,2005,"Documentary",160,2005-04-23,"Omar Amiralay",,
46,tt0107337,2025-06-11,2025-06-11,,"Al-kompars","Al-kompars",https://www.imdb.com/title/tt0107337/,Movie,7.7,100,1993,"Comedy, Drama, Romance",178,,"Nabil Maleh",,
47,tt0424261,2025-06-11,2025-06-11,,"Al malaika la tuhaliq fi al-dar albayda","Al malaika la tuhaliq fi al-dar albayda",https://www.imdb.com/title/tt0424261/,Movie,7.5,94,2004,"Comedy, Drama",66,2005-06-10,"Mohamed Asli",,
48,tt0115895,2025-06-11,2025-06-11,,"Chronicle of a Disappearance","Segell ikhtifa",https://www.imdb.com/title/tt0115895/,Movie,7.0,88,1996,"Drama",949,1996,"Elia Suleiman",,
49,tt0233234,2025-06-11,2025-06-11,,"Land of Fear","Ardh el-Khof",https://www.imdb.com/title/tt0233234/,Movie,8.2,142,1999,"Crime, Drama, Thriller",2196,2000-03-15,"Daoud Abdel Sayed",,
50,tt0487419,2025-06-11,2025-06-11,,"The Secret of the Grain","La graine et le mulet",https://www.imdb.com/title/tt0487419/,Movie,7.4,151,2007,"Drama",8141,2007-12-12,"Abdellatif Kechiche",,
51,tt0062519,2025-06-11,2025-06-11,,"The Second Wife","Al-zawja al-thaniya",https://www.imdb.com/title/tt0062519/,Movie,7.8,105,1967,"Drama",1033,1967-10-16,"Salah Abouseif",,
52,tt0292217,2025-06-11,2025-06-11,,"The Golden Horseshoes","Safa'ih min dhahab",https://www.imdb.com/title/tt0292217/,Movie,7.1,104,1989,"Drama",54,1995-09-27,"Nouri Bouzid",,
53,tt0084492,2025-06-11,2025-06-11,,"Little Wars","Les petites guerres",https://www.imdb.com/title/tt0084492/,Movie,6.2,108,1982,"Drama, War",206,1983-02-09,"Maroun Bagdadi",,
54,tt0419473,2025-06-11,2025-06-11,,"I Love Cinema","Baheb el cima",https://www.imdb.com/title/tt0419473/,Movie,6.6,125,2004,"Drama, Comedy",1558,2004-06-09,"Osama Fawzy",,
55,tt0233175,2025-06-11,2025-06-11,,"Al hayatt al yawmiyah fi quariah suriyah","Al hayatt al yawmiyah fi quariah suriyah",https://www.imdb.com/title/tt0233175/,Movie,7.2,80,1976,"Documentary",108,1976-06,"Omar Amiralay",,
56,tt2271153,2025-06-11,2025-06-11,,"Al-Qahira","Al-Qahira",https://www.imdb.com/title/tt2271153/,Movie,,,2005,"Documentary",0,2005-08-06,"Davide Sacchetti",,
